gene_id	GO	description
gene=yehU	GO:0018106	peptidyl-histidine phosphorylation
gene=yehU	GO:0005524	ATP binding
gene=yehU	GO:0071555	cell wall organization
protein=Protein	GO:0008270	zinc ion binding
protein=Protein	GO:0005737	cytoplasm
gene=wbnK_1	GO:0009243	O antigen biosynthetic process
gene=wbnK_1	GO:0008107	galactoside 2-alpha-L-fucosyltransferase activity
gene=wbnK_1	GO:0016020	membrane
gene=hup	GO:0003677	DNA binding
gene=hup	GO:0030261	chromosome condensation
gene=paeR7IM	GO:0009307	DNA restriction-modification system
gene=paeR7IM	GO:0009007	site-specific DNA-methyltransferase (adenine-specific) activity
gene=paeR7IM	GO:0003677	DNA binding
gene=cwlK	GO:0005576	extracellular region
gene=cwlK	GO:0071555	cell wall organization
gene=cwlK	GO:0008233	peptidase activity
gene=cshB	GO:0005524	ATP binding
gene=pliG	GO:0005829	cytosol
gene=pliG	GO:0042597	periplasmic space
gene=pliG	GO:0060241	lysozyme inhibitor activity
gene=msmA	GO:0046872	metal ion binding
gene=msmA	GO:0018648	methanesulfonate monooxygenase activity
gene=msmA	GO:0051537	2 iron, 2 sulfur cluster binding
gene=msmA	GO:0005737	cytoplasm
gene=psbD	GO:0044160	host thylakoid membrane
gene=psbD	GO:0016021	integral component of membrane
gene=psbD	GO:0046872	metal ion binding
gene=psbD	GO:0016168	chlorophyll binding
gene=psbD	GO:0009523	photosystem II
gene=psbD	GO:0009772	photosynthetic electron transport in photosystem II
gene=psbD	GO:0045156	electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity
gene=psbD	GO:0018298	protein-chromophore linkage
gene=pknB_1	GO:0016021	integral component of membrane
gene=pknB_1	GO:0009190	cyclic nucleotide biosynthetic process
gene=pknB_1	GO:0004674	protein serine/threonine kinase activity
gene=pknB_1	GO:0106310	protein serine kinase activity
gene=pknB_1	GO:0035556	intracellular signal transduction
gene=pknB_1	GO:0005524	ATP binding
gene=pknB_1	GO:0004712	protein serine/threonine/tyrosine kinase activity
gene=nrdE1_1	GO:0005971	ribonucleoside-diphosphate reductase complex
gene=nrdE1_1	GO:0004748	ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor
gene=nrdE1_1	GO:0009263	deoxyribonucleotide biosynthetic process
gene=nrdE1_1	GO:0006260	DNA replication
gene=nrdE1_1	GO:0005524	ATP binding
gene=phrB_2	GO:0046872	metal ion binding
gene=phrB_2	GO:0018298	protein-chromophore linkage
gene=phrB_2	GO:0051539	4 iron, 4 sulfur cluster binding
gene=phrB_2	GO:0003677	DNA binding
gene=phrB_2	GO:0071949	FAD binding
gene=phrB_2	GO:0000719	photoreactive repair
gene=phrB_2	GO:0003914	DNA (6-4) photolyase activity
gene=hindIIIM_2	GO:0005737	cytoplasm
gene=hindIIIM_2	GO:0008170	N-methyltransferase activity
gene=hindIIIM_2	GO:0009007	site-specific DNA-methyltransferase (adenine-specific) activity
gene=hindIIIM_2	GO:0003677	DNA binding
gene=hindIIIM_2	GO:0008168	methyltransferase activity
gene=hindIIIM_2	GO:0009307	DNA restriction-modification system
gene=rapA	GO:0004386	helicase activity
gene=rapA	GO:0016787	hydrolase activity
gene=rapA	GO:0003677	DNA binding
gene=rapA	GO:0005524	ATP binding
gene=rapA	GO:0008094	ATP-dependent activity, acting on DNA
gene=rapA	GO:0008270	zinc ion binding
gene=iap_2	GO:0008234	cysteine-type peptidase activity
gene=rebH_2	GO:0016491	oxidoreductase activity
gene=rebH_2	GO:0000166	nucleotide binding
gene=era	GO:0005525	GTP binding
gene=pnbA	GO:0004104	cholinesterase activity
gene=hhaIM_2	GO:0003886	DNA (cytosine-5-)-methyltransferase activity
gene=hhaIM_2	GO:0009307	DNA restriction-modification system
gene=petE	GO:0009055	electron transfer activity
gene=petE	GO:0009535	chloroplast thylakoid membrane
gene=petE	GO:0005507	copper ion binding
gene=mboIIM_1	GO:0009307	DNA restriction-modification system
gene=mboIIM_1	GO:0008170	N-methyltransferase activity
gene=mboIIM_1	GO:0015667	site-specific DNA-methyltransferase (cytosine-N4-specific) activity
gene=mboIIM_1	GO:0003677	DNA binding
gene=uvrB	GO:0003676	nucleic acid binding
gene=uvrB	GO:0005524	ATP binding
gene=uvrB	GO:0004386	helicase activity
gene=uvrB	GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides
gene=uvrB_2	GO:0005524	ATP binding
gene=uvrB_2	GO:0004386	helicase activity
gene=uvrB_2	GO:0003677	DNA binding
gene=uvrB_2	GO:0016787	hydrolase activity
protein=Trypsin	GO:0004252	serine-type endopeptidase activity
protein=Trypsin	GO:0030574	collagen catabolic process
gene=kly	GO:0030198	extracellular matrix organization
gene=kly	GO:0030574	collagen catabolic process
gene=kly	GO:0004222	metalloendopeptidase activity
gene=kly	GO:0031012	extracellular matrix
gene=kly	GO:0008270	zinc ion binding
gene=nrdF2	GO:0005971	ribonucleoside-diphosphate reductase complex
gene=nrdF2	GO:0046872	metal ion binding
gene=nrdF2	GO:0004748	ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor
gene=nrdF2	GO:0009263	deoxyribonucleotide biosynthetic process
gene=nrdF2	GO:0006260	DNA replication
gene=dut_1	GO:0000287	magnesium ion binding
gene=dut_1	GO:0006226	dUMP biosynthetic process
gene=dut_1	GO:0046081	dUTP catabolic process
gene=dut_1	GO:0004170	dUTP diphosphatase activity
gene=masK	GO:0016021	integral component of membrane
gene=masK	GO:0009190	cyclic nucleotide biosynthetic process
gene=masK	GO:0004674	protein serine/threonine kinase activity
gene=masK	GO:0106310	protein serine kinase activity
gene=masK	GO:0035556	intracellular signal transduction
gene=masK	GO:0005524	ATP binding
gene=masK	GO:0004712	protein serine/threonine/tyrosine kinase activity
gene=hindIIIM	GO:0008170	N-methyltransferase activity
gene=hindIIIM	GO:0009007	site-specific DNA-methyltransferase (adenine-specific) activity
gene=hindIIIM	GO:0003677	DNA binding
gene=hindIIIM	GO:0006260	DNA replication
gene=nfo	GO:0008833	deoxyribonuclease IV (phage-T4-induced) activity
gene=nfo	GO:0006281	DNA repair
gene=nfo	GO:0003677	DNA binding
gene=nfo	GO:0008270	zinc ion binding
gene=yojM	GO:0046872	metal ion binding
gene=yojM	GO:0004784	superoxide dismutase activity
gene=ywqF	GO:0000271	polysaccharide biosynthetic process
gene=ywqF	GO:0051287	NAD binding
gene=ywqF	GO:0003979	UDP-glucose 6-dehydrogenase activity
gene=ywqF	GO:0006065	UDP-glucuronate biosynthetic process
gene=glxK	GO:0005524	ATP binding
gene=glxK	GO:0031388	organic acid phosphorylation
gene=glxK	GO:0008887	glycerate kinase activity
gene=ygiC	GO:0016874	ligase activity
gene=ygiC	GO:0005524	ATP binding
gene=ygiC	GO:0046872	metal ion binding
gene=lytN	GO:0042742	defense response to bacterium
gene=lytN	GO:0008745	N-acetylmuramoyl-L-alanine amidase activity
gene=lytN	GO:0019835	cytolysis
gene=lytN	GO:0009253	peptidoglycan catabolic process
gene=lytN	GO:0030288	outer membrane-bounded periplasmic space
gene=lytN	GO:0071555	cell wall organization
gene=pcm	GO:0004719	protein-L-isoaspartate (D-aspartate) O-methyltransferase activity
gene=pcm	GO:0030091	protein repair
gene=pcm	GO:0005737	cytoplasm
gene=lexA_1	GO:0003677	DNA binding
gene=bla	GO:0008800	beta-lactamase activity
gene=bla	GO:0046677	response to antibiotic
gene=bla	GO:0030655	beta-lactam antibiotic catabolic process
gene=rmlB	GO:0050378	UDP-glucuronate 4-epimerase activity
gene=carA	GO:0016740	transferase activity
gene=carA	GO:0006541	glutamine metabolic process
gene=ykuV	GO:0016491	oxidoreductase activity
gene=ykuV	GO:0016209	antioxidant activity
gene=ykuV	GO:0005737	cytoplasm
gene=yhaI	GO:0016021	integral component of membrane
gene=yhaI	GO:0005886	plasma membrane
gene=exsA	GO:0008152	metabolic process
gene=exsA	GO:0016798	hydrolase activity, acting on glycosyl bonds
gene=exsA	GO:0005576	extracellular region
gene=groS_1	GO:0016887	ATP hydrolysis activity
gene=groS_1	GO:0005524	ATP binding
gene=groS_1	GO:0006457	protein folding
gene=groS_1	GO:0005737	cytoplasm
gene=parA	GO:0042802	identical protein binding
gene=parA	GO:0030541	plasmid partitioning
gene=ssbA	GO:0006260	DNA replication
gene=ssbA	GO:0003697	single-stranded DNA binding
gene=thyA_3	GO:0047153	deoxycytidylate 5-hydroxymethyltransferase activity
gene=ravA	GO:0016887	ATP hydrolysis activity
gene=ravA	GO:0005524	ATP binding
gene=hflK	GO:0016021	integral component of membrane
gene=rpfC	GO:0005576	extracellular region
gene=rpfC	GO:0016787	hydrolase activity
gene=gluP	GO:0016021	integral component of membrane
gene=gluP	GO:0004252	serine-type endopeptidase activity
gene=gluP	GO:0040026	positive regulation of vulval development
gene=spk1	GO:0004674	protein serine/threonine kinase activity
gene=spk1	GO:0005524	ATP binding
gene=spk1	GO:0004712	protein serine/threonine/tyrosine kinase activity
gene=spk1	GO:0106310	protein serine kinase activity
gene=dprA	GO:0009294	DNA-mediated transformation
gene=ctrA	GO:0000160	phosphorelay signal transduction system
gene=ctrA	GO:0003677	DNA binding
gene=ctrA	GO:0006355	regulation of transcription, DNA-templated
gene=ctrA	GO:0005737	cytoplasm
protein=Type	GO:0009307	DNA restriction-modification system
protein=Type	GO:0008170	N-methyltransferase activity
protein=Type	GO:0009007	site-specific DNA-methyltransferase (adenine-specific) activity
protein=Type	GO:0003677	DNA binding
gene=comEC	GO:0016021	integral component of membrane
gene=comEC	GO:0005886	plasma membrane
gene=comEC	GO:0030420	establishment of competence for transformation
protein=Putative	GO:0006541	glutamine metabolic process
protein=Putative	GO:0055074	calcium ion homeostasis
protein=Putative	GO:0046513	ceramide biosynthetic process
protein=Putative	GO:0075713	establishment of integrated proviral latency
protein=Putative	GO:0004758	serine C-palmitoyltransferase activity
protein=Putative	GO:0005737	cytoplasm
protein=Putative	GO:0009223	pyrimidine deoxyribonucleotide catabolic process
protein=Putative	GO:0008285	negative regulation of cell population proliferation
protein=Putative	GO:0007568	aging
protein=Putative	GO:0070564	positive regulation of vitamin D receptor signaling pathway
protein=Putative	GO:2000830	positive regulation of parathyroid hormone secretion
protein=Putative	GO:0005739	mitochondrion
protein=Putative	GO:0034341	response to interferon-gamma
protein=Putative	GO:0004601	peroxidase activity
protein=Putative	GO:0016206	catechol O-methyltransferase activity
protein=Putative	GO:0010181	FMN binding
protein=Putative	GO:0016021	integral component of membrane
protein=Putative	GO:0010980	positive regulation of vitamin D 24-hydroxylase activity
protein=Putative	GO:0005506	iron ion binding
protein=Putative	GO:0008253	5'-nucleotidase activity
protein=Putative	GO:0044826	viral genome integration into host DNA
protein=Putative	GO:0016740	transferase activity
protein=Putative	GO:0010956	negative regulation of calcidiol 1-monooxygenase activity
protein=Putative	GO:0046512	sphingosine biosynthetic process
protein=Putative	GO:0046688	response to copper ion
protein=Putative	GO:0030308	negative regulation of cell growth
protein=Putative	GO:0046718	viral entry into host cell
protein=Putative	GO:0031966	mitochondrial membrane
protein=Putative	GO:0102938	orcinol O-methyltransferase activity
protein=Putative	GO:0032259	methylation
protein=Putative	GO:1900155	negative regulation of bone trabecula formation
protein=Putative	GO:0032496	response to lipopolysaccharide
protein=Putative	GO:0042369	vitamin D catabolic process
protein=Putative	GO:0046697	decidualization
protein=Putative	GO:0046872	metal ion binding
protein=Putative	GO:0009555	pollen development
protein=Putative	GO:0030148	sphingolipid biosynthetic process
protein=Putative	GO:0030500	regulation of bone mineralization
protein=Putative	GO:0070314	G1 to G0 transition
protein=Putative	GO:0009410	response to xenobiotic stimulus
protein=Putative	GO:0036378	calcitriol biosynthetic process from calciol
protein=Putative	GO:0102084	L-dopa O-methyltransferase activity
protein=Putative	GO:0016787	hydrolase activity
protein=Putative	GO:0062185	secalciferol 1-monooxygenase activity
protein=Putative	GO:0043627	response to estrogen
protein=Putative	GO:0006816	calcium ion transport
protein=Putative	GO:0020037	heme binding
protein=Putative	GO:0033280	response to vitamin D
protein=Putative	GO:0016811	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides
protein=Putative	GO:0042359	vitamin D metabolic process
protein=Putative	GO:0008757	S-adenosylmethionine-dependent methyltransferase activity
protein=Putative	GO:0006464	cellular protein modification process
protein=Putative	GO:0006310	DNA recombination
protein=Putative	GO:0051591	response to cAMP
protein=Putative	GO:0030279	negative regulation of ossification
protein=Putative	GO:0015074	DNA integration
protein=Putative	GO:0005886	plasma membrane
protein=Putative	GO:0009640	photomorphogenesis
protein=Putative	GO:0032868	response to insulin
protein=Putative	GO:0045618	positive regulation of keratinocyte differentiation
protein=Putative	GO:0017059	serine C-palmitoyltransferase complex
protein=Putative	GO:0003677	DNA binding
protein=Putative	GO:0034695	response to prostaglandin E
protein=Putative	GO:0004498	calcidiol 1-monooxygenase activity
protein=Putative	GO:0030282	bone mineralization
protein=Putative	GO:0030170	pyridoxal phosphate binding
gene=dnaJ	GO:0051082	unfolded protein binding
gene=dnaJ	GO:0005506	iron ion binding
gene=dnaJ	GO:0005773	vacuole
gene=dnaJ	GO:0051085	chaperone cofactor-dependent protein refolding
gene=dnaJ	GO:0009941	chloroplast envelope
gene=dnaJ	GO:0031072	heat shock protein binding
gene=dnaJ	GO:0042026	protein refolding
gene=dnaJ	GO:0005737	cytoplasm
gene=dnaJ	GO:0009408	response to heat
gene=dnaJ	GO:0009535	chloroplast thylakoid membrane
gene=dnaJ	GO:0009507	chloroplast
gene=dnaJ	GO:0005524	ATP binding
gene=eno	GO:0006096	glycolytic process
gene=eno	GO:0000287	magnesium ion binding
gene=eno	GO:0005576	extracellular region
gene=eno	GO:0000015	phosphopyruvate hydratase complex
gene=eno	GO:0004634	phosphopyruvate hydratase activity
gene=eno	GO:0009986	cell surface
gene=pknL	GO:0045087	innate immune response
gene=pknL	GO:0002446	neutrophil mediated immunity
gene=pknL	GO:0043123	positive regulation of I-kappaB kinase/NF-kappaB signaling
gene=pknL	GO:0004674	protein serine/threonine kinase activity
gene=pknL	GO:0005634	nucleus
gene=pknL	GO:0005149	interleukin-1 receptor binding
gene=pknL	GO:0005886	plasma membrane
gene=pknL	GO:0005737	cytoplasm
gene=pknL	GO:0000287	magnesium ion binding
gene=pknL	GO:0106310	protein serine kinase activity
gene=pknL	GO:0019221	cytokine-mediated signaling pathway
gene=pknL	GO:0035556	intracellular signal transduction
gene=pknL	GO:1990266	neutrophil migration
gene=pknL	GO:0019901	protein kinase binding
gene=pknL	GO:0005524	ATP binding
gene=pknL	GO:0004712	protein serine/threonine/tyrosine kinase activity
gene=glcA	GO:0005576	extracellular region
gene=glcA	GO:0005975	carbohydrate metabolic process
gene=glcA	GO:0033930	keratan-sulfate endo-1,4-beta-galactosidase activity
gene=rpfD	GO:0016021	integral component of membrane
gene=rpfD	GO:0098003	viral tail assembly
gene=rpfD	GO:0033644	host cell membrane
gene=hslU	GO:0016887	ATP hydrolysis activity
gene=hslU	GO:0036402	proteasome-activating activity
gene=hslU	GO:0009376	HslUV protease complex
gene=hslU	GO:0043335	protein unfolding
gene=hslU	GO:0005524	ATP binding
gene=hslU	GO:0008233	peptidase activity
gene=nrdA_2	GO:0005971	ribonucleoside-diphosphate reductase complex
gene=nrdA_2	GO:0004748	ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor
gene=nrdA_2	GO:0009263	deoxyribonucleotide biosynthetic process
gene=nrdA_2	GO:0006260	DNA replication
gene=nrdA_2	GO:0005524	ATP binding
gene=hin_1	GO:0015074	DNA integration
gene=hin_1	GO:0016787	hydrolase activity
gene=hin_1	GO:0030430	host cell cytoplasm
gene=hin_1	GO:0003677	DNA binding
gene=hin_1	GO:0000150	DNA strand exchange activity
gene=hin_1	GO:0016874	ligase activity
gene=entC3	GO:0046872	metal ion binding
gene=entC3	GO:0005576	extracellular region
gene=entC3	GO:0090729	toxin activity
gene=rtcB	GO:0042245	RNA repair
gene=rtcB	GO:0006974	cellular response to DNA damage stimulus
gene=rtcB	GO:0008033	tRNA processing
gene=rtcB	GO:0006396	RNA processing
gene=rtcB	GO:0008452	RNA ligase activity
gene=rtcB	GO:0030145	manganese ion binding
gene=rtcB	GO:0005525	GTP binding
gene=rtcB	GO:0006281	DNA repair
gene=rtcB	GO:0003909	DNA ligase activity
gene=immR	GO:0003677	DNA binding
gene=thyA_2	GO:0004799	thymidylate synthase activity
gene=thyA_2	GO:0006260	DNA replication
gene=thyA_2	GO:0032259	methylation
gene=thyA_2	GO:0039693	viral DNA genome replication
gene=thyA_2	GO:0006231	dTMP biosynthetic process
gene=xcpQ	GO:0016021	integral component of membrane
gene=xcpQ	GO:0009306	protein secretion
gene=xcpQ	GO:0099045	viral extrusion
gene=xcpQ	GO:0033644	host cell membrane
gene=rfbE	GO:0003824	catalytic activity
gene=helD	GO:0016887	ATP hydrolysis activity
gene=helD	GO:0005524	ATP binding
gene=helD	GO:0003677	DNA binding
gene=helD	GO:0003678	DNA helicase activity
gene=mftC	GO:0046872	metal ion binding
gene=mftC	GO:0051539	4 iron, 4 sulfur cluster binding
gene=mftC	GO:0003824	catalytic activity
gene=doc	GO:0016301	kinase activity
gene=pphB	GO:0046872	metal ion binding
gene=pphB	GO:0008138	protein tyrosine/serine/threonine phosphatase activity
gene=pphB	GO:0005737	cytoplasm
gene=pphB	GO:0016791	phosphatase activity
gene=aroD	GO:0009423	chorismate biosynthetic process
gene=aroD	GO:0008652	cellular amino acid biosynthetic process
gene=aroD	GO:0003855	3-dehydroquinate dehydratase activity
gene=aroD	GO:0009073	aromatic amino acid family biosynthetic process
gene=lsr2	GO:0009295	nucleoid
gene=lsr2	GO:0003677	DNA binding
gene=lsr2	GO:0016746	acyltransferase activity
gene=lsr2	GO:0005737	cytoplasm
gene=betA_1	GO:0050660	flavin adenine dinucleotide binding
gene=betA_1	GO:0016614	oxidoreductase activity, acting on CH-OH group of donors
gene=cca	GO:0000049	tRNA binding
gene=cca	GO:0004112	cyclic-nucleotide phosphodiesterase activity
gene=cca	GO:0001680	tRNA 3'-terminal CCA addition
gene=cca	GO:0042245	RNA repair
gene=cca	GO:0052927	CTP:tRNA cytidylyltransferase activity
gene=cca	GO:0000287	magnesium ion binding
gene=cca	GO:0016791	phosphatase activity
gene=cca	GO:0052929	ATP:3'-cytidine-cytidine-tRNA adenylyltransferase activity
gene=cca	GO:0005524	ATP binding
gene=cca	GO:0016437	tRNA cytidylyltransferase activity
gene=cca	GO:0052928	CTP:3'-cytidine-tRNA cytidylyltransferase activity
gene=elmMII	GO:0046872	metal ion binding
gene=elmMII	GO:0017000	antibiotic biosynthetic process
gene=elmMII	GO:0008168	methyltransferase activity
gene=elmMII	GO:0032259	methylation
gene=tufB	GO:0003743	translation initiation factor activity
gene=tufB	GO:0000049	tRNA binding
gene=tufB	GO:0005525	GTP binding
gene=tufB	GO:0003924	GTPase activity
gene=pnbA_2	GO:0004104	cholinesterase activity
gene=prkC_5	GO:0016021	integral component of membrane
gene=prkC_5	GO:0009190	cyclic nucleotide biosynthetic process
gene=prkC_5	GO:0004674	protein serine/threonine kinase activity
gene=prkC_5	GO:0106310	protein serine kinase activity
gene=prkC_5	GO:0035556	intracellular signal transduction
gene=prkC_5	GO:0005524	ATP binding
gene=prkC_5	GO:0004712	protein serine/threonine/tyrosine kinase activity
gene=sigF_1	GO:0016987	sigma factor activity
gene=sigF_1	GO:0006352	DNA-templated transcription, initiation
gene=sigF_1	GO:0071978	bacterial-type flagellum-dependent swarming motility
gene=sigF_1	GO:0003899	DNA-directed 5'-3' RNA polymerase activity
gene=sigF_1	GO:0003677	DNA binding
gene=sigF_1	GO:0006355	regulation of transcription, DNA-templated
gene=nrdZ	GO:0006260	DNA replication
gene=nrdZ	GO:0004748	ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor
gene=psaD	GO:0009538	photosystem I reaction center
gene=psaD	GO:0015979	photosynthesis
gene=psaD	GO:0030094	plasma membrane-derived photosystem I
gene=dnaX_1	GO:0006271	DNA strand elongation involved in DNA replication
gene=dnaX_1	GO:0005654	nucleoplasm
gene=dnaX_1	GO:0016887	ATP hydrolysis activity
gene=dnaX_1	GO:0032508	DNA duplex unwinding
gene=dnaX_1	GO:0005634	nucleus
gene=dnaX_1	GO:0006261	DNA-templated DNA replication
gene=dnaX_1	GO:1900264	positive regulation of DNA-directed DNA polymerase activity
gene=dnaX_1	GO:0031390	Ctf18 RFC-like complex
gene=dnaX_1	GO:0005663	DNA replication factor C complex
gene=dnaX_1	GO:0003677	DNA binding
gene=dnaX_1	GO:0005524	ATP binding
gene=dnaX_1	GO:0031391	Elg1 RFC-like complex
gene=dnaX_1	GO:0006281	DNA repair
gene=rfbD	GO:0009243	O antigen biosynthetic process
gene=rfbD	GO:0008767	UDP-galactopyranose mutase activity
gene=dhfrIII	GO:0006730	one-carbon metabolic process
gene=dhfrIII	GO:0046677	response to antibiotic
gene=dhfrIII	GO:0004146	dihydrofolate reductase activity
gene=dhfrIII	GO:0046654	tetrahydrofolate biosynthetic process
gene=dhfrIII	GO:0031427	response to methotrexate
gene=nrdF1	GO:0005971	ribonucleoside-diphosphate reductase complex
gene=nrdF1	GO:0046872	metal ion binding
gene=nrdF1	GO:0004748	ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor
gene=nrdF1	GO:0009263	deoxyribonucleotide biosynthetic process
gene=nrdF1	GO:0006260	DNA replication
gene=fiu	GO:0016021	integral component of membrane
gene=fiu	GO:0044718	siderophore transmembrane transport
gene=fiu	GO:0031230	intrinsic component of cell outer membrane
gene=fiu	GO:0038023	signaling receptor activity
gene=fiu	GO:0015344	siderophore uptake transmembrane transporter activity
gene=rapA_2	GO:0004386	helicase activity
gene=rapA_2	GO:0005634	nucleus
gene=rapA_2	GO:0005737	cytoplasm
gene=rapA_2	GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides
gene=rapA_2	GO:0003677	DNA binding
gene=rapA_2	GO:0005524	ATP binding
gene=rapA_2	GO:0006281	DNA repair
gene=rapA_2	GO:0008270	zinc ion binding
gene=rlmCD_1	GO:0006396	RNA processing
gene=rlmCD_1	GO:0008173	RNA methyltransferase activity
gene=psd	GO:0004609	phosphatidylserine decarboxylase activity
gene=psd	GO:0006646	phosphatidylethanolamine biosynthetic process
gene=psd	GO:0005886	plasma membrane
gene=recA_1	GO:0006310	DNA recombination
gene=recA_1	GO:0009432	SOS response
gene=recA_1	GO:0003684	damaged DNA binding
gene=recA_1	GO:0005737	cytoplasm
gene=recA_1	GO:0003697	single-stranded DNA binding
gene=recA_1	GO:0005524	ATP binding
gene=recA_1	GO:0008094	ATP-dependent activity, acting on DNA
gene=recA_1	GO:0006281	DNA repair
gene=macB	GO:0042953	lipoprotein transport
gene=macB	GO:0005524	ATP binding
gene=macB	GO:0044873	lipoprotein localization to membrane
gene=macB	GO:0005886	plasma membrane
gene=ybaQ	GO:0003677	DNA binding
gene=lytB	GO:0004040	amidase activity
gene=lytB	GO:0005576	extracellular region
gene=lytB	GO:0033925	mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase activity
gene=lytB	GO:0071555	cell wall organization
gene=sunI	GO:0016021	integral component of membrane
gene=sunI	GO:0030153	bacteriocin immunity
gene=sunI	GO:0005886	plasma membrane
gene=pelA_1	GO:0046872	metal ion binding
gene=pelA_1	GO:0000272	polysaccharide catabolic process
gene=pelA_1	GO:0005576	extracellular region
gene=pelA_1	GO:0030570	pectate lyase activity
gene=pelA_1	GO:0071555	cell wall organization
gene=rpe	GO:0046872	metal ion binding
gene=rpe	GO:0004750	D-ribulose-phosphate 3-epimerase activity
gene=rpe	GO:0008198	ferrous iron binding
gene=rpe	GO:0019323	pentose catabolic process
gene=rpe	GO:0005829	cytosol
gene=rpe	GO:0009052	pentose-phosphate shunt, non-oxidative branch
gene=rpe	GO:0044262	cellular carbohydrate metabolic process
gene=nrdD	GO:0032564	dATP binding
gene=nrdD	GO:0032567	dGTP binding
gene=nrdD	GO:0009265	2'-deoxyribonucleotide biosynthetic process
gene=nrdD	GO:0051065	CTP reductase activity
gene=nrdD	GO:0006260	DNA replication
gene=nrdD	GO:0008998	ribonucleoside-triphosphate reductase activity
gene=nrdD	GO:0031250	anaerobic ribonucleoside-triphosphate reductase complex
gene=nrdD	GO:0015949	nucleobase-containing small molecule interconversion
gene=nrdD	GO:0005524	ATP binding
gene=nrdD	GO:0032556	pyrimidine deoxyribonucleotide binding
gene=nrdD	GO:0008270	zinc ion binding
gene=hpaIIM_2	GO:0003886	DNA (cytosine-5-)-methyltransferase activity
gene=hpaIIM_2	GO:0009307	DNA restriction-modification system
gene=cysS	GO:0046872	metal ion binding
gene=cysS	GO:0005524	ATP binding
gene=cysS	GO:0004817	cysteine-tRNA ligase activity
gene=cysS	GO:0006418	tRNA aminoacylation for protein translation
gene=lukEv	GO:0044179	hemolysis in another organism
gene=lukEv	GO:0005576	extracellular region
gene=lukEv	GO:0090729	toxin activity
gene=panD	GO:0015940	pantothenate biosynthetic process
gene=panD	GO:0006523	alanine biosynthetic process
gene=panD	GO:0004068	aspartate 1-decarboxylase activity
gene=panD	GO:0005737	cytoplasm
gene=dps2	GO:0016722	oxidoreductase activity, acting on metal ions
gene=dps2	GO:0006879	cellular iron ion homeostasis
gene=dps2	GO:0008199	ferric iron binding
gene=dps2	GO:0005737	cytoplasm
gene=clpP_2	GO:0004252	serine-type endopeptidase activity
gene=clpP_2	GO:0004176	ATP-dependent peptidase activity
gene=clpP_2	GO:0005737	cytoplasm
gene=mepH	GO:0008234	cysteine-type peptidase activity
gene=mepH	GO:0000270	peptidoglycan metabolic process
gene=mepH	GO:0004175	endopeptidase activity
gene=mepH	GO:0045227	capsule polysaccharide biosynthetic process
gene=mepH	GO:0071555	cell wall organization
gene=acsAB	GO:0016021	integral component of membrane
gene=acsAB	GO:0016760	cellulose synthase (UDP-forming) activity
gene=acsAB	GO:0030244	cellulose biosynthetic process
gene=acsAB	GO:0005886	plasma membrane
gene=acsAB	GO:0035438	cyclic-di-GMP binding
gene=acsAB	GO:0006011	UDP-glucose metabolic process
gene=glf	GO:0009103	lipopolysaccharide biosynthetic process
gene=glf	GO:0005829	cytosol
gene=glf	GO:0050660	flavin adenine dinucleotide binding
gene=glf	GO:0008767	UDP-galactopyranose mutase activity
gene=psaA	GO:0016021	integral component of membrane
gene=psaA	GO:0016168	chlorophyll binding
gene=psaA	GO:0015979	photosynthesis
gene=psaA	GO:0000287	magnesium ion binding
gene=psaA	GO:0031676	plasma membrane-derived thylakoid membrane
gene=psaA	GO:0009055	electron transfer activity
gene=psaA	GO:0051539	4 iron, 4 sulfur cluster binding
gene=psaA	GO:0009522	photosystem I
gene=psaA	GO:0018298	protein-chromophore linkage
gene=nrdB	GO:0046872	metal ion binding
gene=nrdB	GO:0006260	DNA replication
gene=nrdB	GO:0004748	ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor
gene=nrdB	GO:0009263	deoxyribonucleotide biosynthetic process
gene=holE	GO:0006272	leading strand elongation
gene=holE	GO:0044776	DNA polymerase III, core complex
gene=holE	GO:0003677	DNA binding
gene=holE	GO:0006273	lagging strand elongation
gene=holE	GO:0005829	cytosol
gene=holE	GO:0003887	DNA-directed DNA polymerase activity
gene=hicA	GO:0004519	endonuclease activity
gene=hicA	GO:0003729	mRNA binding
gene=metN	GO:0042953	lipoprotein transport
gene=metN	GO:0005524	ATP binding
gene=metN	GO:0005886	plasma membrane
gene=ubiE	GO:0000049	tRNA binding
gene=ubiE	GO:0016300	tRNA (uracil) methyltransferase activity
gene=ubiE	GO:0005634	nucleus
gene=ubiE	GO:0030488	tRNA methylation
gene=ubiE	GO:0002098	tRNA wobble uridine modification
gene=ubiE	GO:0005737	cytoplasm
