gene_id	ko	pathway
gene=ftsH4	ko04962	Vasopressin-regulated water reabsorption [PATH:ko04962]
gene=ftsH4	ko04727	GABAergic synapse [PATH:ko04727]
gene=ftsH4	ko04721	Synaptic vesicle cycle [PATH:ko04721]
gene=ftsH4	ko04131	Membrane trafficking [BR:ko04131]
protein=Putative	ko00600	Sphingolipid metabolism [PATH:ko00600]
protein=Putative	ko04071	Sphingolipid signaling pathway [PATH:ko04071]
protein=Putative	ko04138	Autophagy - yeast [PATH:ko04138]
protein=Putative	ko01007	Amino acid related enzymes [BR:ko01007]
gene=dnaJ_1	ko03110	Chaperones and folding catalysts [BR:ko03110]
gene=dnaJ_1	ko03029	Mitochondrial biogenesis [BR:ko03029]
gene=def1	99980	Enzymes with EC numbers
gene=kpsF	ko00540	Lipopolysaccharide biosynthesis [PATH:ko00540]
gene=kpsF	ko01005	Lipopolysaccharide biosynthesis proteins [BR:ko01005]
gene=tarD	ko00564	Glycerophospholipid metabolism [PATH:ko00564]
gene=tarD	ko00440	Phosphonate and phosphinate metabolism [PATH:ko00440]
gene=gcvP	ko00630	Glyoxylate and dicarboxylate metabolism [PATH:ko00630]
gene=gcvP	ko00260	Glycine, serine and threonine metabolism [PATH:ko00260]
gene=guaC	ko00230	Purine metabolism [PATH:ko00230]
gene=guaC	ko00983	Drug metabolism - other enzymes [PATH:ko00983]
gene=guaC	ko04147	Exosome [BR:ko04147]
gene=dnaN	ko03030	DNA replication [PATH:ko03030]
gene=dnaN	ko03430	Mismatch repair [PATH:ko03430]
gene=dnaN	ko03440	Homologous recombination [PATH:ko03440]
gene=dnaN	ko03032	DNA replication proteins [BR:ko03032]
gene=dnaN	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=ssb2	ko03030	DNA replication [PATH:ko03030]
gene=ssb2	ko03430	Mismatch repair [PATH:ko03430]
gene=ssb2	ko03440	Homologous recombination [PATH:ko03440]
gene=ssb2	ko03032	DNA replication proteins [BR:ko03032]
gene=ssb2	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=ssb2	ko03029	Mitochondrial biogenesis [BR:ko03029]
gene=levB	ko00500	Starch and sucrose metabolism [PATH:ko00500]
gene=hldE_1	ko00740	Riboflavin metabolism [PATH:ko00740]
gene=trxA_2	ko04621	NOD-like receptor signaling pathway [PATH:ko04621]
gene=trxA_2	ko05132	Salmonella infection [PATH:ko05132]
gene=trxA_2	ko05012	Parkinson disease [PATH:ko05012]
gene=trxA_2	ko05418	Fluid shear stress and atherosclerosis [PATH:ko05418]
gene=trxA_2	ko03110	Chaperones and folding catalysts [BR:ko03110]
gene=tadA_2	ko00240	Pyrimidine metabolism [PATH:ko00240]
gene=tadA_2	ko02044	Secretion system [BR:ko02044]
gene=tuaD	ko00040	Pentose and glucuronate interconversions [PATH:ko00040]
gene=tuaD	ko00053	Ascorbate and aldarate metabolism [PATH:ko00053]
gene=tuaD	ko00520	Amino sugar and nucleotide sugar metabolism [PATH:ko00520]
gene=tuaD	ko00541	O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]
gene=argS	ko00970	Aminoacyl-tRNA biosynthesis [PATH:ko00970]
gene=argS	ko01007	Amino acid related enzymes [BR:ko01007]
gene=argS	ko03016	Transfer RNA biogenesis [BR:ko03016]
gene=argS	ko03029	Mitochondrial biogenesis [BR:ko03029]
gene=purL	ko00230	Purine metabolism [PATH:ko00230]
gene=mku	ko03450	Non-homologous end-joining [PATH:ko03450]
gene=mku	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=blc	ko04147	Exosome [BR:ko04147]
protein=putative	99976	Replication and repair
gene=asnB	ko00250	Alanine, aspartate and glutamate metabolism [PATH:ko00250]
gene=asnB	ko01002	Peptidases and inhibitors [BR:ko01002]
gene=hdc	ko00564	Glycerophospholipid metabolism [PATH:ko00564]
gene=serS	ko00970	Aminoacyl-tRNA biosynthesis [PATH:ko00970]
gene=serS	ko01007	Amino acid related enzymes [BR:ko01007]
gene=serS	ko03016	Transfer RNA biogenesis [BR:ko03016]
gene=tdk	ko00240	Pyrimidine metabolism [PATH:ko00240]
gene=tdk	ko00983	Drug metabolism - other enzymes [PATH:ko00983]
gene=pepO	ko01002	Peptidases and inhibitors [BR:ko01002]
gene=rpoC_2	ko03020	RNA polymerase [PATH:ko03020]
gene=rpoC_2	ko05016	Huntington disease [PATH:ko05016]
gene=rpoC_2	ko03021	Transcription machinery [BR:ko03021]
gene=rpoC_2	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=tobZ	99980	Enzymes with EC numbers
gene=smpB	99975	Protein processing
gene=smpB	99979	Unclassified viral proteins
gene=radD	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=ligA_1	ko03030	DNA replication [PATH:ko03030]
gene=ligA_1	ko03410	Base excision repair [PATH:ko03410]
gene=ligA_1	ko03420	Nucleotide excision repair [PATH:ko03420]
gene=ligA_1	ko03430	Mismatch repair [PATH:ko03430]
gene=ligA_1	ko03032	DNA replication proteins [BR:ko03032]
gene=ligA_1	ko03400	DNA repair and recombination proteins [BR:ko03400]
protein=Putative	ko00600	Sphingolipid metabolism [PATH:ko00600]
protein=Putative	ko04071	Sphingolipid signaling pathway [PATH:ko04071]
protein=Putative	ko04138	Autophagy - yeast [PATH:ko04138]
protein=Putative	ko01007	Amino acid related enzymes [BR:ko01007]
gene=csbB	ko01005	Lipopolysaccharide biosynthesis proteins [BR:ko01005]
gene=ligA_2	ko03030	DNA replication [PATH:ko03030]
gene=ligA_2	ko03410	Base excision repair [PATH:ko03410]
gene=ligA_2	ko03420	Nucleotide excision repair [PATH:ko03420]
gene=ligA_2	ko03430	Mismatch repair [PATH:ko03430]
gene=ligA_2	ko03032	DNA replication proteins [BR:ko03032]
gene=ligA_2	ko03400	DNA repair and recombination proteins [BR:ko03400]
protein=Endoglucanase	ko00500	Starch and sucrose metabolism [PATH:ko00500]
protein=Endoglucanase	ko02020	Two-component system [PATH:ko02020]
gene=dacD	ko00550	Peptidoglycan biosynthesis [PATH:ko00550]
gene=dacD	ko01002	Peptidases and inhibitors [BR:ko01002]
gene=dacD	ko01011	Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]
protein=Thioredoxin	ko04621	NOD-like receptor signaling pathway [PATH:ko04621]
protein=Thioredoxin	ko05132	Salmonella infection [PATH:ko05132]
protein=Thioredoxin	ko05012	Parkinson disease [PATH:ko05012]
protein=Thioredoxin	ko05418	Fluid shear stress and atherosclerosis [PATH:ko05418]
protein=Thioredoxin	ko03110	Chaperones and folding catalysts [BR:ko03110]
gene=rpoS	ko05111	Biofilm formation - Vibrio cholerae [PATH:ko05111]
gene=rpoS	ko02026	Biofilm formation - Escherichia coli [PATH:ko02026]
gene=rpoS	ko03021	Transcription machinery [BR:ko03021]
gene=ecfG	ko03021	Transcription machinery [BR:ko03021]
gene=purH	ko00230	Purine metabolism [PATH:ko00230]
gene=purH	ko00670	One carbon pool by folate [PATH:ko00670]
gene=purH	ko01523	Antifolate resistance [PATH:ko01523]
gene=purH	ko04147	Exosome [BR:ko04147]
gene=cmoA	ko03016	Transfer RNA biogenesis [BR:ko03016]
gene=rapA_1	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=purL_2	ko00230	Purine metabolism [PATH:ko00230]
gene=lon_2	ko04112	Cell cycle - Caulobacter [PATH:ko04112]
gene=lon_2	ko01002	Peptidases and inhibitors [BR:ko01002]
gene=alkJ	ko00260	Glycine, serine and threonine metabolism [PATH:ko00260]
gene=tyrS	ko00970	Aminoacyl-tRNA biosynthesis [PATH:ko00970]
gene=tyrS	ko01007	Amino acid related enzymes [BR:ko01007]
gene=tyrS	ko03016	Transfer RNA biogenesis [BR:ko03016]
gene=tyrS	ko03029	Mitochondrial biogenesis [BR:ko03029]
gene=rapZ	ko03019	Messenger RNA biogenesis [BR:ko03019]
gene=yfkN	ko00230	Purine metabolism [PATH:ko00230]
gene=yfkN	ko00240	Pyrimidine metabolism [PATH:ko00240]
gene=yfkN	ko00760	Nicotinate and nicotinamide metabolism [PATH:ko00760]
protein=DegV	99983	Lipid metabolism
gene=rfbB	ko00541	O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]
gene=rfbB	ko00523	Polyketide sugar unit biosynthesis [PATH:ko00523]
gene=rfbB	ko01055	Biosynthesis of vancomycin group antibiotics [PATH:ko01055]
gene=rfbB	ko00521	Streptomycin biosynthesis [PATH:ko00521]
gene=rfbB	ko00525	Acarbose and validamycin biosynthesis [PATH:ko00525]
gene=purA	ko00230	Purine metabolism [PATH:ko00230]
gene=purA	ko00250	Alanine, aspartate and glutamate metabolism [PATH:ko00250]
protein=Putative	ko00600	Sphingolipid metabolism [PATH:ko00600]
protein=Putative	ko04071	Sphingolipid signaling pathway [PATH:ko04071]
protein=Putative	ko04138	Autophagy - yeast [PATH:ko04138]
protein=Putative	ko01007	Amino acid related enzymes [BR:ko01007]
gene=rmlA	ko00541	O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]
gene=rmlA	ko00523	Polyketide sugar unit biosynthesis [PATH:ko00523]
gene=rmlA	ko00521	Streptomycin biosynthesis [PATH:ko00521]
gene=rmlA	ko00525	Acarbose and validamycin biosynthesis [PATH:ko00525]
gene=groL2	ko03018	RNA degradation [PATH:ko03018]
gene=groL2	ko04212	Longevity regulating pathway - worm [PATH:ko04212]
gene=groL2	ko05134	Legionellosis [PATH:ko05134]
gene=groL2	ko05152	Tuberculosis [PATH:ko05152]
gene=groL2	ko05417	Lipid and atherosclerosis [PATH:ko05417]
gene=groL2	ko04940	Type I diabetes mellitus [PATH:ko04940]
gene=groL2	ko03019	Messenger RNA biogenesis [BR:ko03019]
gene=groL2	ko03110	Chaperones and folding catalysts [BR:ko03110]
gene=groL2	ko03029	Mitochondrial biogenesis [BR:ko03029]
gene=groL2	ko04147	Exosome [BR:ko04147]
protein=Putative	ko00600	Sphingolipid metabolism [PATH:ko00600]
protein=Putative	ko04071	Sphingolipid signaling pathway [PATH:ko04071]
protein=Putative	ko04138	Autophagy - yeast [PATH:ko04138]
protein=Putative	ko01007	Amino acid related enzymes [BR:ko01007]
gene=topA	ko03032	DNA replication proteins [BR:ko03032]
gene=topA	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=dam	ko03430	Mismatch repair [PATH:ko03430]
gene=dam	ko03032	DNA replication proteins [BR:ko03032]
gene=dam	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=dam	ko02048	Prokaryotic defense system [BR:ko02048]
gene=nucA	ko04210	Apoptosis [PATH:ko04210]
gene=nucA	ko03029	Mitochondrial biogenesis [BR:ko03029]
protein=Putative	ko00600	Sphingolipid metabolism [PATH:ko00600]
protein=Putative	ko04071	Sphingolipid signaling pathway [PATH:ko04071]
protein=Putative	ko04138	Autophagy - yeast [PATH:ko04138]
protein=Putative	ko01007	Amino acid related enzymes [BR:ko01007]
gene=dnaX_2	ko03030	DNA replication [PATH:ko03030]
gene=dnaX_2	ko03420	Nucleotide excision repair [PATH:ko03420]
gene=dnaX_2	ko03430	Mismatch repair [PATH:ko03430]
gene=dnaX_2	ko03032	DNA replication proteins [BR:ko03032]
gene=dnaX_2	ko03036	Chromosome and associated proteins [BR:ko03036]
gene=dnaX_2	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=nrdE1	ko00230	Purine metabolism [PATH:ko00230]
gene=nrdE1	ko00240	Pyrimidine metabolism [PATH:ko00240]
gene=nrdE1	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=pnbA_1	99980	Enzymes with EC numbers
protein=Ferredoxin	99982	Energy metabolism
gene=pnuC_2	ko02000	Transporters [BR:ko02000]
gene=fda	ko00010	Glycolysis / Gluconeogenesis [PATH:ko00010]
gene=fda	ko00030	Pentose phosphate pathway [PATH:ko00030]
gene=fda	ko00051	Fructose and mannose metabolism [PATH:ko00051]
gene=fda	ko00710	Carbon fixation in photosynthetic organisms [PATH:ko00710]
gene=fda	ko00680	Methane metabolism [PATH:ko00680]
gene=fda	ko04066	HIF-1 signaling pathway [PATH:ko04066]
gene=fda	ko04131	Membrane trafficking [BR:ko04131]
gene=fda	ko03036	Chromosome and associated proteins [BR:ko03036]
gene=fda	ko04147	Exosome [BR:ko04147]
gene=psbA2	ko00195	Photosynthesis [PATH:ko00195]
gene=psbA2	ko00194	Photosynthesis proteins [BR:ko00194]
gene=pnuC	ko02000	Transporters [BR:ko02000]
gene=prtS	ko01002	Peptidases and inhibitors [BR:ko01002]
gene=pcyA	ko00860	Porphyrin metabolism [PATH:ko00860]
gene=coxN	ko00190	Oxidative phosphorylation [PATH:ko00190]
gene=topoM	ko01524	Platinum drug resistance [PATH:ko01524]
gene=topoM	ko03032	DNA replication proteins [BR:ko03032]
gene=topoM	ko03036	Chromosome and associated proteins [BR:ko03036]
gene=nanS	99981	Carbohydrate metabolism
gene=purN	ko00230	Purine metabolism [PATH:ko00230]
gene=purN	ko00670	One carbon pool by folate [PATH:ko00670]
gene=prpE	ko00230	Purine metabolism [PATH:ko00230]
gene=sppA_2	ko01002	Peptidases and inhibitors [BR:ko01002]
gene=trxB	ko00450	Selenocompound metabolism [PATH:ko00450]
gene=comEC_1	ko02044	Secretion system [BR:ko02044]
gene=prkC_3	ko04150	mTOR signaling pathway [PATH:ko04150]
gene=prkC_3	ko04140	Autophagy - animal [PATH:ko04140]
gene=prkC_3	ko04138	Autophagy - yeast [PATH:ko04138]
gene=prkC_3	ko04136	Autophagy - other [PATH:ko04136]
gene=prkC_3	ko04139	Mitophagy - yeast [PATH:ko04139]
gene=prkC_3	ko04212	Longevity regulating pathway - worm [PATH:ko04212]
gene=prkC_3	ko05010	Alzheimer disease [PATH:ko05010]
gene=prkC_3	ko05014	Amyotrophic lateral sclerosis [PATH:ko05014]
gene=prkC_3	ko05016	Huntington disease [PATH:ko05016]
gene=prkC_3	ko05017	Spinocerebellar ataxia [PATH:ko05017]
gene=prkC_3	ko05022	Pathways of neurodegeneration - multiple diseases [PATH:ko05022]
gene=prkC_3	ko01001	Protein kinases [BR:ko01001]
gene=prkC_3	ko04131	Membrane trafficking [BR:ko04131]
gene=prkC_3	ko03029	Mitochondrial biogenesis [BR:ko03029]
gene=psaE	ko00195	Photosynthesis [PATH:ko00195]
gene=psaE	ko00194	Photosynthesis proteins [BR:ko00194]
gene=rfbC	ko00541	O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]
gene=rfbC	ko00523	Polyketide sugar unit biosynthesis [PATH:ko00523]
gene=rfbC	ko00521	Streptomycin biosynthesis [PATH:ko00521]
gene=apr	ko02024	Quorum sensing [PATH:ko02024]
gene=apr	ko01002	Peptidases and inhibitors [BR:ko01002]
gene=apr	ko03110	Chaperones and folding catalysts [BR:ko03110]
gene=nusG	ko03021	Transcription machinery [BR:ko03021]
gene=nusG	ko03009	Ribosome biogenesis [BR:ko03009]
gene=glpQ	ko00564	Glycerophospholipid metabolism [PATH:ko00564]
gene=yokF	99980	Enzymes with EC numbers
gene=polB_2	ko03030	DNA replication [PATH:ko03030]
gene=polB_2	ko03410	Base excision repair [PATH:ko03410]
gene=polB_2	ko03420	Nucleotide excision repair [PATH:ko03420]
gene=polB_2	ko03430	Mismatch repair [PATH:ko03430]
gene=polB_2	ko03440	Homologous recombination [PATH:ko03440]
gene=polB_2	ko03032	DNA replication proteins [BR:ko03032]
gene=polB_2	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=cwlO	ko01002	Peptidases and inhibitors [BR:ko01002]
gene=cwlO	ko01011	Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]
gene=grcA	ko00620	Pyruvate metabolism [PATH:ko00620]
gene=grcA	ko00640	Propanoate metabolism [PATH:ko00640]
gene=grcA	ko00650	Butanoate metabolism [PATH:ko00650]
gene=petF1	ko00195	Photosynthesis [PATH:ko00195]
gene=petF1	ko00194	Photosynthesis proteins [BR:ko00194]
gene=xerD	ko03036	Chromosome and associated proteins [BR:ko03036]
gene=sodC	ko04146	Peroxisome [PATH:ko04146]
gene=sodC	ko04213	Longevity regulating pathway - multiple species [PATH:ko04213]
gene=sodC	ko05208	Chemical carcinogenesis - reactive oxygen species [PATH:ko05208]
gene=sodC	ko05012	Parkinson disease [PATH:ko05012]
gene=sodC	ko05014	Amyotrophic lateral sclerosis [PATH:ko05014]
gene=sodC	ko05016	Huntington disease [PATH:ko05016]
gene=sodC	ko05020	Prion disease [PATH:ko05020]
gene=sodC	ko05022	Pathways of neurodegeneration - multiple diseases [PATH:ko05022]
gene=sodC1	ko04146	Peroxisome [PATH:ko04146]
gene=sodC1	ko04213	Longevity regulating pathway - multiple species [PATH:ko04213]
gene=sodC1	ko05208	Chemical carcinogenesis - reactive oxygen species [PATH:ko05208]
gene=sodC1	ko05012	Parkinson disease [PATH:ko05012]
gene=sodC1	ko05014	Amyotrophic lateral sclerosis [PATH:ko05014]
gene=sodC1	ko05016	Huntington disease [PATH:ko05016]
gene=sodC1	ko05020	Prion disease [PATH:ko05020]
gene=sodC1	ko05022	Pathways of neurodegeneration - multiple diseases [PATH:ko05022]
gene=ssuC	ko00910	Nitrogen metabolism [PATH:ko00910]
gene=ssuC	ko02010	ABC transporters [PATH:ko02010]
gene=ssuC	ko02000	Transporters [BR:ko02000]
gene=nrdZ_1	ko00230	Purine metabolism [PATH:ko00230]
gene=nrdZ_1	ko00240	Pyrimidine metabolism [PATH:ko00240]
gene=nrdZ_1	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=ndhI	ko00190	Oxidative phosphorylation [PATH:ko00190]
gene=ail	ko02000	Transporters [BR:ko02000]
gene=tmpC	ko02010	ABC transporters [PATH:ko02010]
gene=tmpC	ko02000	Transporters [BR:ko02000]
gene=rsr	ko05322	Systemic lupus erythematosus [PATH:ko05322]
gene=mutS2	ko03430	Mismatch repair [PATH:ko03430]
gene=mutS2	ko05200	Pathways in cancer [PATH:ko05200]
gene=mutS2	ko05210	Colorectal cancer [PATH:ko05210]
gene=mutS2	ko01524	Platinum drug resistance [PATH:ko01524]
gene=mutS2	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=polC_2	ko03030	DNA replication [PATH:ko03030]
gene=polC_2	ko03430	Mismatch repair [PATH:ko03430]
gene=polC_2	ko03440	Homologous recombination [PATH:ko03440]
gene=polC_2	ko03032	DNA replication proteins [BR:ko03032]
gene=polC_2	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=yhaO	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=spoIIID	ko03000	Transcription factors [BR:ko03000]
protein=putative	99976	Replication and repair
protein=PhoH-like	99995	Signaling proteins
gene=ywlC	ko03009	Ribosome biogenesis [BR:ko03009]
gene=ywlC	ko03016	Transfer RNA biogenesis [BR:ko03016]
gene=ndkA	ko00230	Purine metabolism [PATH:ko00230]
gene=ndkA	ko00240	Pyrimidine metabolism [PATH:ko00240]
gene=ndkA	ko00983	Drug metabolism - other enzymes [PATH:ko00983]
gene=ndkA	ko04016	MAPK signaling pathway - plant [PATH:ko04016]
gene=ndkA	ko04131	Membrane trafficking [BR:ko04131]
gene=dnaB_2	ko03029	Mitochondrial biogenesis [BR:ko03029]
gene=queC_1	ko00790	Folate biosynthesis [PATH:ko00790]
gene=queC_1	ko03016	Transfer RNA biogenesis [BR:ko03016]
gene=dinG	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=ribD	ko00240	Pyrimidine metabolism [PATH:ko00240]
gene=ribD	ko02044	Secretion system [BR:ko02044]
gene=cysN	ko03015	mRNA surveillance pathway [PATH:ko03015]
gene=cysN	ko03019	Messenger RNA biogenesis [BR:ko03019]
gene=cysN	ko03012	Translation factors [BR:ko03012]
gene=queC	ko00790	Folate biosynthesis [PATH:ko00790]
gene=queC	ko03016	Transfer RNA biogenesis [BR:ko03016]
gene=yokJ	ko02048	Prokaryotic defense system [BR:ko02048]
gene=nrnA	ko00920	Sulfur metabolism [PATH:ko00920]
gene=nrnA	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=pknA	ko04310	Wnt signaling pathway [PATH:ko04310]
gene=pknA	ko04340	Hedgehog signaling pathway [PATH:ko04340]
gene=pknA	ko04341	Hedgehog signaling pathway - fly [PATH:ko04341]
gene=pknA	ko05225	Hepatocellular carcinoma [PATH:ko05225]
gene=pknA	ko05226	Gastric cancer [PATH:ko05226]
gene=pknA	ko05224	Breast cancer [PATH:ko05224]
gene=pknA	ko05165	Human papillomavirus infection [PATH:ko05165]
gene=pknA	ko05010	Alzheimer disease [PATH:ko05010]
gene=pknA	ko05022	Pathways of neurodegeneration - multiple diseases [PATH:ko05022]
gene=pknA	ko01001	Protein kinases [BR:ko01001]
gene=fosB2	99980	Enzymes with EC numbers
gene=rusA	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=vsr	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=pknB	ko04371	Apelin signaling pathway [PATH:ko04371]
gene=pknB	ko04071	Sphingolipid signaling pathway [PATH:ko04071]
gene=pknB	ko04022	cGMP-PKG signaling pathway [PATH:ko04022]
gene=pknB	ko04530	Tight junction [PATH:ko04530]
gene=pknB	ko04666	Fc gamma R-mediated phagocytosis [PATH:ko04666]
gene=pknB	ko04925	Aldosterone synthesis and secretion [PATH:ko04925]
gene=pknB	ko04270	Vascular smooth muscle contraction [PATH:ko04270]
gene=pknB	ko04750	Inflammatory mediator regulation of TRP channels [PATH:ko04750]
gene=pknB	ko05206	MicroRNAs in cancer [PATH:ko05206]
gene=pknB	ko05131	Shigellosis [PATH:ko05131]
gene=pknB	ko04930	Type II diabetes mellitus [PATH:ko04930]
gene=pknB	ko04931	Insulin resistance [PATH:ko04931]
gene=pknB	ko04933	AGE-RAGE signaling pathway in diabetic complications [PATH:ko04933]
gene=pknB	ko01001	Protein kinases [BR:ko01001]
protein=putative	99976	Replication and repair
gene=maa	ko00920	Sulfur metabolism [PATH:ko00920]
gene=maa	ko00270	Cysteine and methionine metabolism [PATH:ko00270]
gene=maa	ko05111	Biofilm formation - Vibrio cholerae [PATH:ko05111]
gene=prs2	ko00030	Pentose phosphate pathway [PATH:ko00030]
gene=prs2	ko00230	Purine metabolism [PATH:ko00230]
gene=gyrB	ko01524	Platinum drug resistance [PATH:ko01524]
gene=gyrB	ko03032	DNA replication proteins [BR:ko03032]
gene=gyrB	ko03036	Chromosome and associated proteins [BR:ko03036]
gene=pknJ	ko04138	Autophagy - yeast [PATH:ko04138]
gene=pknJ	ko04111	Cell cycle - yeast [PATH:ko04111]
gene=nrdA	ko00230	Purine metabolism [PATH:ko00230]
gene=nrdA	ko00240	Pyrimidine metabolism [PATH:ko00240]
gene=nrdA	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=csrA	ko02020	Two-component system [PATH:ko02020]
gene=csrA	ko05111	Biofilm formation - Vibrio cholerae [PATH:ko05111]
gene=csrA	ko02025	Biofilm formation - Pseudomonas aeruginosa [PATH:ko02025]
gene=csrA	ko02026	Biofilm formation - Escherichia coli [PATH:ko02026]
gene=csrA	ko03019	Messenger RNA biogenesis [BR:ko03019]
gene=dpnA_2	ko02048	Prokaryotic defense system [BR:ko02048]
gene=por	ko00051	Fructose and mannose metabolism [PATH:ko00051]
gene=yheS	ko03012	Translation factors [BR:ko03012]
gene=lon1	ko04112	Cell cycle - Caulobacter [PATH:ko04112]
gene=lon1	ko01002	Peptidases and inhibitors [BR:ko01002]
gene=glyA2	ko00630	Glyoxylate and dicarboxylate metabolism [PATH:ko00630]
gene=glyA2	ko00680	Methane metabolism [PATH:ko00680]
gene=glyA2	ko00260	Glycine, serine and threonine metabolism [PATH:ko00260]
gene=glyA2	ko00460	Cyanoamino acid metabolism [PATH:ko00460]
gene=glyA2	ko00670	One carbon pool by folate [PATH:ko00670]
gene=glyA2	ko01523	Antifolate resistance [PATH:ko01523]
gene=algC	ko00010	Glycolysis / Gluconeogenesis [PATH:ko00010]
gene=algC	ko00030	Pentose phosphate pathway [PATH:ko00030]
gene=algC	ko00051	Fructose and mannose metabolism [PATH:ko00051]
gene=algC	ko00052	Galactose metabolism [PATH:ko00052]
gene=algC	ko00500	Starch and sucrose metabolism [PATH:ko00500]
gene=algC	ko00520	Amino sugar and nucleotide sugar metabolism [PATH:ko00520]
gene=algC	ko00230	Purine metabolism [PATH:ko00230]
gene=algC	ko00521	Streptomycin biosynthesis [PATH:ko00521]
gene=gyrB_1	ko03032	DNA replication proteins [BR:ko03032]
gene=gyrB_1	ko03400	DNA repair and recombination proteins [BR:ko03400]
protein=Putative	ko00600	Sphingolipid metabolism [PATH:ko00600]
protein=Putative	ko04071	Sphingolipid signaling pathway [PATH:ko04071]
protein=Putative	ko04138	Autophagy - yeast [PATH:ko04138]
protein=Putative	ko01007	Amino acid related enzymes [BR:ko01007]
gene=recD2	ko03440	Homologous recombination [PATH:ko03440]
gene=recD2	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=prkC_4	ko04010	MAPK signaling pathway [PATH:ko04010]
gene=prkC_4	ko04310	Wnt signaling pathway [PATH:ko04310]
gene=prkC_4	ko04068	FoxO signaling pathway [PATH:ko04068]
gene=prkC_4	ko04520	Adherens junction [PATH:ko04520]
gene=prkC_4	ko01001	Protein kinases [BR:ko01001]
protein=Small,	99978	Cell growth
gene=trpS	ko00970	Aminoacyl-tRNA biosynthesis [PATH:ko00970]
gene=trpS	ko01007	Amino acid related enzymes [BR:ko01007]
gene=trpS	ko03016	Transfer RNA biogenesis [BR:ko03016]
gene=trpS	ko03029	Mitochondrial biogenesis [BR:ko03029]
gene=recE_2	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=ssbB	ko03030	DNA replication [PATH:ko03030]
gene=ssbB	ko03430	Mismatch repair [PATH:ko03430]
gene=ssbB	ko03440	Homologous recombination [PATH:ko03440]
gene=ssbB	ko03032	DNA replication proteins [BR:ko03032]
gene=ssbB	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=ssbB	ko03029	Mitochondrial biogenesis [BR:ko03029]
gene=yfdH	ko01005	Lipopolysaccharide biosynthesis proteins [BR:ko01005]
gene=cysK	ko00920	Sulfur metabolism [PATH:ko00920]
gene=cysK	ko00270	Cysteine and methionine metabolism [PATH:ko00270]
gene=ftsH2	ko04131	Membrane trafficking [BR:ko04131]
gene=polA	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=polA_1	ko03030	DNA replication [PATH:ko03030]
gene=polA_1	ko03410	Base excision repair [PATH:ko03410]
gene=polA_1	ko03420	Nucleotide excision repair [PATH:ko03420]
gene=polA_1	ko03440	Homologous recombination [PATH:ko03440]
gene=polA_1	ko03032	DNA replication proteins [BR:ko03032]
gene=polA_1	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=psaC	ko00195	Photosynthesis [PATH:ko00195]
gene=psaC	ko00194	Photosynthesis proteins [BR:ko00194]
gene=selB	ko03019	Messenger RNA biogenesis [BR:ko03019]
gene=selB	ko03016	Transfer RNA biogenesis [BR:ko03016]
gene=selB	ko03012	Translation factors [BR:ko03012]
gene=pkn1_2	ko04142	Lysosome [PATH:ko04142]
gene=patA	99986	Glycan metabolism
gene=lon_1	ko04112	Cell cycle - Caulobacter [PATH:ko04112]
gene=lon_1	ko01002	Peptidases and inhibitors [BR:ko01002]
gene=clpA	ko03110	Chaperones and folding catalysts [BR:ko03110]
gene=metC	ko00260	Glycine, serine and threonine metabolism [PATH:ko00260]
gene=metC	ko00270	Cysteine and methionine metabolism [PATH:ko00270]
gene=metC	ko00450	Selenocompound metabolism [PATH:ko00450]
gene=metC	ko04147	Exosome [BR:ko04147]
gene=pipB2_1	ko04121	Ubiquitin system [BR:ko04121]
gene=rnhA_1	ko03030	DNA replication [PATH:ko03030]
gene=rnhA_1	ko03032	DNA replication proteins [BR:ko03032]
