gene_id	ko	pathway
gene=fumC	ko04934	Cushing syndrome [PATH:ko04934]
gene=nboR_2	ko00790	Folate biosynthesis [PATH:ko00790]
gene=gndA_1	ko00030	Pentose phosphate pathway [PATH:ko00030]
gene=gndA_1	ko00480	Glutathione metabolism [PATH:ko00480]
gene=cusS_4	ko02020	Two-component system [PATH:ko02020]
gene=cusS_4	ko01001	Protein kinases [BR:ko01001]
gene=cusS_4	ko02022	Two-component system [BR:ko02022]
gene=gabR_4	ko03000	Transcription factors [BR:ko03000]
gene=ppiB_2	99980	Enzymes with EC numbers
gene=rocD2_2	ko00330	Arginine and proline metabolism [PATH:ko00330]
gene=rocD2_2	ko01007	Amino acid related enzymes [BR:ko01007]
gene=amdA_1	ko00630	Glyoxylate and dicarboxylate metabolism [PATH:ko00630]
gene=amdA_1	ko00910	Nitrogen metabolism [PATH:ko00910]
gene=amdA_1	ko00460	Cyanoamino acid metabolism [PATH:ko00460]
gene=yicI	99980	Enzymes with EC numbers
protein=Ribonuclease	99974	Translation
gene=blc	ko04147	Exosome [BR:ko04147]
gene=moaB_2	ko00790	Folate biosynthesis [PATH:ko00790]
gene=moaB_2	ko04122	Sulfur relay system [PATH:ko04122]
gene=sat	ko00920	Sulfur metabolism [PATH:ko00920]
gene=sat	ko00230	Purine metabolism [PATH:ko00230]
gene=sat	ko00450	Selenocompound metabolism [PATH:ko00450]
gene=sat	ko00261	Monobactam biosynthesis [PATH:ko00261]
gene=argT_8	ko02010	ABC transporters [PATH:ko02010]
gene=argT_8	ko02000	Transporters [BR:ko02000]
gene=rsbV_3	ko03021	Transcription machinery [BR:ko03021]
gene=relJ	ko02048	Prokaryotic defense system [BR:ko02048]
gene=dacB_3	ko00550	Peptidoglycan biosynthesis [PATH:ko00550]
gene=dacB_3	ko01002	Peptidases and inhibitors [BR:ko01002]
gene=dacB_3	ko01011	Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]
gene=ycf3_7	ko05132	Salmonella infection [PATH:ko05132]
gene=ycf3_7	ko05010	Alzheimer disease [PATH:ko05010]
gene=ycf3_7	ko05012	Parkinson disease [PATH:ko05012]
gene=ycf3_7	ko05014	Amyotrophic lateral sclerosis [PATH:ko05014]
gene=ycf3_7	ko05016	Huntington disease [PATH:ko05016]
gene=ycf3_7	ko05020	Prion disease [PATH:ko05020]
gene=ycf3_7	ko05022	Pathways of neurodegeneration - multiple diseases [PATH:ko05022]
gene=ycf3_7	ko03019	Messenger RNA biogenesis [BR:ko03019]
gene=ycf3_7	ko04812	Cytoskeleton proteins [BR:ko04812]
gene=srpC_1	ko02000	Transporters [BR:ko02000]
gene=srpC_1	ko01504	Antimicrobial resistance genes [BR:ko01504]
gene=nadC_1	ko00760	Nicotinate and nicotinamide metabolism [PATH:ko00760]
gene=ycjP_10	ko02000	Transporters [BR:ko02000]
gene=suhB	ko00562	Inositol phosphate metabolism [PATH:ko00562]
gene=suhB	ko00521	Streptomycin biosynthesis [PATH:ko00521]
gene=suhB	ko04070	Phosphatidylinositol signaling system [PATH:ko04070]
protein=Cyclic	ko02000	Transporters [BR:ko02000]
gene=entD_1	ko01053	Biosynthesis of siderophore group nonribosomal peptides [PATH:ko01053]
gene=entD_1	ko01008	Polyketide biosynthesis proteins [BR:ko01008]
gene=gsiC_9	ko02024	Quorum sensing [PATH:ko02024]
gene=gsiC_9	ko02000	Transporters [BR:ko02000]
gene=ecfA1_1	ko02010	ABC transporters [PATH:ko02010]
gene=ecfA1_1	ko02000	Transporters [BR:ko02000]
gene=btuE	ko00590	Arachidonic acid metabolism [PATH:ko00590]
gene=btuE	ko00480	Glutathione metabolism [PATH:ko00480]
gene=btuE	ko04918	Thyroid hormone synthesis [PATH:ko04918]
gene=btuE	ko05014	Amyotrophic lateral sclerosis [PATH:ko05014]
gene=btuE	ko05016	Huntington disease [PATH:ko05016]
gene=btuE	ko05022	Pathways of neurodegeneration - multiple diseases [PATH:ko05022]
gene=hsaA_3	ko00984	Steroid degradation [PATH:ko00984]
gene=smc_7	ko03036	Chromosome and associated proteins [BR:ko03036]
gene=phnJ_2	ko00440	Phosphonate and phosphinate metabolism [PATH:ko00440]
gene=ssb_5	ko03030	DNA replication [PATH:ko03030]
gene=ssb_5	ko03430	Mismatch repair [PATH:ko03430]
gene=ssb_5	ko03440	Homologous recombination [PATH:ko03440]
gene=ssb_5	ko03032	DNA replication proteins [BR:ko03032]
gene=ssb_5	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=ssb_5	ko03029	Mitochondrial biogenesis [BR:ko03029]
gene=moaA2_1	ko00790	Folate biosynthesis [PATH:ko00790]
gene=moaA2_1	ko04122	Sulfur relay system [PATH:ko04122]
gene=mmsB_1	ko00630	Glyoxylate and dicarboxylate metabolism [PATH:ko00630]
gene=mmsB_1	ko00650	Butanoate metabolism [PATH:ko00650]
gene=kshB	ko00984	Steroid degradation [PATH:ko00984]
gene=crh_1	ko02060	Phosphotransferase system (PTS) [PATH:ko02060]
gene=crh_1	ko02000	Transporters [BR:ko02000]
gene=cspE	99973	Transcription
gene=uup	ko02000	Transporters [BR:ko02000]
gene=pyrB_2	ko00240	Pyrimidine metabolism [PATH:ko00240]
gene=pyrB_2	ko00250	Alanine, aspartate and glutamate metabolism [PATH:ko00250]
protein=Thermophilic	ko00500	Starch and sucrose metabolism [PATH:ko00500]
gene=ubiF_3	ko00130	Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130]
gene=sppA_3	ko01002	Peptidases and inhibitors [BR:ko01002]
gene=mgtB	99980	Enzymes with EC numbers
gene=glcB	ko00620	Pyruvate metabolism [PATH:ko00620]
gene=glcB	ko00630	Glyoxylate and dicarboxylate metabolism [PATH:ko00630]
gene=mhbM	ko00362	Benzoate degradation [PATH:ko00362]
gene=ihfA_1	ko03032	DNA replication proteins [BR:ko03032]
gene=ihfA_1	ko03036	Chromosome and associated proteins [BR:ko03036]
gene=ihfA_1	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=lgoD_2	ko00053	Ascorbate and aldarate metabolism [PATH:ko00053]
gene=rplP	ko03010	Ribosome [PATH:ko03010]
gene=rplP	ko03011	Ribosome [BR:ko03011]
gene=mepM	ko01002	Peptidases and inhibitors [BR:ko01002]
gene=mepM	ko01011	Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]
gene=thiH_2	ko00730	Thiamine metabolism [PATH:ko00730]
gene=yjiB	ko00199	Cytochrome P450 [BR:ko00199]
gene=mscK_2	ko02000	Transporters [BR:ko02000]
gene=oppB	ko02010	ABC transporters [PATH:ko02010]
gene=oppB	ko02024	Quorum sensing [PATH:ko02024]
gene=oppB	ko01501	beta-Lactam resistance [PATH:ko01501]
gene=oppB	ko02000	Transporters [BR:ko02000]
gene=citN_8	99977	Transport
gene=fucI_2	ko00040	Pentose and glucuronate interconversions [PATH:ko00040]
gene=fucI_2	ko00051	Fructose and mannose metabolism [PATH:ko00051]
gene=aroF	ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]
gene=aroF	ko02024	Quorum sensing [PATH:ko02024]
gene=fadJ_4	ko00650	Butanoate metabolism [PATH:ko00650]
gene=fadJ_4	ko00071	Fatty acid degradation [PATH:ko00071]
gene=fadJ_4	ko00362	Benzoate degradation [PATH:ko00362]
gene=ythA_2	ko00190	Oxidative phosphorylation [PATH:ko00190]
gene=ythA_2	ko02020	Two-component system [PATH:ko02020]
gene=ywaD	ko01002	Peptidases and inhibitors [BR:ko01002]
gene=flaA_1	ko02020	Two-component system [PATH:ko02020]
gene=flaA_1	ko02040	Flagellar assembly [PATH:ko02040]
gene=flaA_1	ko04621	NOD-like receptor signaling pathway [PATH:ko04621]
gene=flaA_1	ko04626	Plant-pathogen interaction [PATH:ko04626]
gene=flaA_1	ko05132	Salmonella infection [PATH:ko05132]
gene=flaA_1	ko05131	Shigellosis [PATH:ko05131]
gene=flaA_1	ko05134	Legionellosis [PATH:ko05134]
gene=flaA_1	ko02035	Bacterial motility proteins [BR:ko02035]
gene=tctD	ko02020	Two-component system [PATH:ko02020]
gene=tctD	ko02022	Two-component system [BR:ko02022]
gene=abo_7	ko00260	Glycine, serine and threonine metabolism [PATH:ko00260]
gene=rsbP	ko03021	Transcription machinery [BR:ko03021]
gene=pox5	ko00620	Pyruvate metabolism [PATH:ko00620]
gene=tcaR_1	ko03000	Transcription factors [BR:ko03000]
gene=fpg1_2	ko03410	Base excision repair [PATH:ko03410]
gene=fpg1_2	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=fabB_1	ko00061	Fatty acid biosynthesis [PATH:ko00061]
gene=fabB_1	ko00780	Biotin metabolism [PATH:ko00780]
gene=fabB_1	ko01004	Lipid biosynthesis proteins [BR:ko01004]
gene=yjoB_2	ko03029	Mitochondrial biogenesis [BR:ko03029]
gene=dap4_5	ko04974	Protein digestion and absorption [PATH:ko04974]
gene=dap4_5	ko01002	Peptidases and inhibitors [BR:ko01002]
gene=dap4_5	ko04147	Exosome [BR:ko04147]
gene=dap4_5	ko04090	CD molecules [BR:ko04090]
protein=Putative	ko00630	Glyoxylate and dicarboxylate metabolism [PATH:ko00630]
protein=Putative	ko00680	Methane metabolism [PATH:ko00680]
gene=glpF_2	ko02000	Transporters [BR:ko02000]
gene=mrpE_1	ko02000	Transporters [BR:ko02000]
protein=putative	ko01004	Lipid biosynthesis proteins [BR:ko01004]
gene=yeaP	99980	Enzymes with EC numbers
gene=tpm	ko00983	Drug metabolism - other enzymes [PATH:ko00983]
gene=naiP_5	ko02000	Transporters [BR:ko02000]
gene=gspK	ko00520	Amino sugar and nucleotide sugar metabolism [PATH:ko00520]
gene=astD_1	ko00330	Arginine and proline metabolism [PATH:ko00330]
gene=dxr	ko00900	Terpenoid backbone biosynthesis [PATH:ko00900]
gene=cheA_2	ko02020	Two-component system [PATH:ko02020]
gene=cheA_2	ko02030	Bacterial chemotaxis [PATH:ko02030]
gene=cheA_2	ko01001	Protein kinases [BR:ko01001]
gene=cheA_2	ko02022	Two-component system [BR:ko02022]
gene=cheA_2	ko02035	Bacterial motility proteins [BR:ko02035]
gene=yqfL_2	99980	Enzymes with EC numbers
gene=griH	ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]
gene=tgs1_2	ko00561	Glycerolipid metabolism [PATH:ko00561]
protein=putative	ko01004	Lipid biosynthesis proteins [BR:ko01004]
gene=rpsN2	ko03010	Ribosome [PATH:ko03010]
gene=rpsN2	ko03011	Ribosome [BR:ko03011]
gene=ppiA_1	ko03250	Viral life cycle - HIV-1 [PATH:ko03250]
gene=ppiA_1	ko04217	Necroptosis [PATH:ko04217]
gene=ppiA_1	ko01503	Cationic antimicrobial peptide (CAMP) resistance [PATH:ko01503]
gene=ppiA_1	ko03110	Chaperones and folding catalysts [BR:ko03110]
gene=ppiA_1	ko04147	Exosome [BR:ko04147]
gene=lolD_3	ko02010	ABC transporters [PATH:ko02010]
gene=lolD_3	ko02000	Transporters [BR:ko02000]
gene=penA_2	ko00550	Peptidoglycan biosynthesis [PATH:ko00550]
gene=penA_2	ko01501	beta-Lactam resistance [PATH:ko01501]
gene=penA_2	ko01011	Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]
gene=ompX_1	ko02000	Transporters [BR:ko02000]
gene=ackA_1	ko00620	Pyruvate metabolism [PATH:ko00620]
gene=ackA_1	ko00640	Propanoate metabolism [PATH:ko00640]
gene=ackA_1	ko00720	Carbon fixation pathways in prokaryotes [PATH:ko00720]
gene=ackA_1	ko00680	Methane metabolism [PATH:ko00680]
gene=ackA_1	ko00430	Taurine and hypotaurine metabolism [PATH:ko00430]
gene=ybgC_2	99980	Enzymes with EC numbers
gene=pqsA	ko00405	Phenazine biosynthesis [PATH:ko00405]
gene=pqsA	ko02024	Quorum sensing [PATH:ko02024]
gene=pqsA	ko02025	Biofilm formation - Pseudomonas aeruginosa [PATH:ko02025]
gene=oppF_7	ko02024	Quorum sensing [PATH:ko02024]
gene=oppF_7	ko02000	Transporters [BR:ko02000]
gene=cysP	ko00920	Sulfur metabolism [PATH:ko00920]
gene=cysP	ko02010	ABC transporters [PATH:ko02010]
gene=cysP	ko02000	Transporters [BR:ko02000]
protein=Acetyltransferase	99999	Others
gene=qorA_4	99980	Enzymes with EC numbers
gene=metN_3	ko02010	ABC transporters [PATH:ko02010]
gene=metN_3	ko02000	Transporters [BR:ko02000]
gene=ppsC_1	99980	Enzymes with EC numbers
gene=lexA_5	ko01002	Peptidases and inhibitors [BR:ko01002]
gene=lexA_5	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=pntB	ko00760	Nicotinate and nicotinamide metabolism [PATH:ko00760]
gene=rbsC_28	ko02010	ABC transporters [PATH:ko02010]
gene=rbsC_28	ko02000	Transporters [BR:ko02000]
protein=L-Ala-D/L-Glu	99980	Enzymes with EC numbers
gene=pepF1	ko01002	Peptidases and inhibitors [BR:ko01002]
gene=ssuC_8	ko00920	Sulfur metabolism [PATH:ko00920]
gene=ssuC_8	ko02010	ABC transporters [PATH:ko02010]
gene=ssuC_8	ko02000	Transporters [BR:ko02000]
gene=phoA_2	ko00730	Thiamine metabolism [PATH:ko00730]
gene=phoA_2	ko00790	Folate biosynthesis [PATH:ko00790]
gene=phoA_2	ko02020	Two-component system [PATH:ko02020]
gene=phoA_2	ko04147	Exosome [BR:ko04147]
gene=phoA_2	ko00537	Glycosylphosphatidylinositol (GPI)-anchored proteins [BR:ko00537]
gene=nasD_1	ko00910	Nitrogen metabolism [PATH:ko00910]
gene=nupX_3	99977	Transport
gene=pilT	ko02044	Secretion system [BR:ko02044]
gene=pilT	ko02035	Bacterial motility proteins [BR:ko02035]
gene=hycD_2	99982	Energy metabolism
gene=ate	99980	Enzymes with EC numbers
gene=gcvP_3	ko00630	Glyoxylate and dicarboxylate metabolism [PATH:ko00630]
gene=gcvP_3	ko00260	Glycine, serine and threonine metabolism [PATH:ko00260]
gene=kaiA	99995	Signaling proteins
gene=petF_3	ko00195	Photosynthesis [PATH:ko00195]
gene=petF_3	ko00194	Photosynthesis proteins [BR:ko00194]
gene=rpoE	ko03021	Transcription machinery [BR:ko03021]
gene=spoVK_1	99978	Cell growth
gene=aroQ1_2	ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]
gene=pcd	ko00630	Glyoxylate and dicarboxylate metabolism [PATH:ko00630]
gene=pcd	ko00380	Tryptophan metabolism [PATH:ko00380]
gene=occP_2	ko02000	Transporters [BR:ko02000]
protein=putative	ko01004	Lipid biosynthesis proteins [BR:ko01004]
gene=yhjE_7	ko02000	Transporters [BR:ko02000]
gene=fruA_8	ko00051	Fructose and mannose metabolism [PATH:ko00051]
gene=fruA_8	ko02060	Phosphotransferase system (PTS) [PATH:ko02060]
gene=fruA_8	ko02000	Transporters [BR:ko02000]
gene=syd	99993	Cell motility
gene=potD_3	ko02024	Quorum sensing [PATH:ko02024]
gene=potD_3	ko02000	Transporters [BR:ko02000]
gene=nuoL_4	ko00190	Oxidative phosphorylation [PATH:ko00190]
gene=minD_1	ko02044	Secretion system [BR:ko02044]
gene=minD_1	ko02035	Bacterial motility proteins [BR:ko02035]
gene=sacA_1	ko00052	Galactose metabolism [PATH:ko00052]
gene=sacA_1	ko00500	Starch and sucrose metabolism [PATH:ko00500]
protein=CutC-like	99994	Others
gene=cstA_3	99995	Signaling proteins
gene=purS	ko00230	Purine metabolism [PATH:ko00230]
gene=panB_1	ko00770	Pantothenate and CoA biosynthesis [PATH:ko00770]
gene=lysX	ko00970	Aminoacyl-tRNA biosynthesis [PATH:ko00970]
gene=lysX	ko01007	Amino acid related enzymes [BR:ko01007]
gene=lysX	ko03016	Transfer RNA biogenesis [BR:ko03016]
gene=cwlA_2	99980	Enzymes with EC numbers
gene=hisI	ko00340	Histidine metabolism [PATH:ko00340]
gene=pacS	99980	Enzymes with EC numbers
gene=ansB_1	ko00250	Alanine, aspartate and glutamate metabolism [PATH:ko00250]
gene=ansB_1	ko00460	Cyanoamino acid metabolism [PATH:ko00460]
gene=rssA_2	ko01001	Protein kinases [BR:ko01001]
gene=rssA_2	ko02022	Two-component system [BR:ko02022]
gene=yiaD_1	ko02030	Bacterial chemotaxis [PATH:ko02030]
gene=yiaD_1	ko02040	Flagellar assembly [PATH:ko02040]
gene=yiaD_1	ko02000	Transporters [BR:ko02000]
gene=yiaD_1	ko02035	Bacterial motility proteins [BR:ko02035]
gene=folP2	ko00790	Folate biosynthesis [PATH:ko00790]
gene=cobQ_1	ko00860	Porphyrin metabolism [PATH:ko00860]
gene=mglC	ko02010	ABC transporters [PATH:ko02010]
gene=mglC	ko02000	Transporters [BR:ko02000]
gene=pamO	ko00680	Methane metabolism [PATH:ko00680]
gene=egtB_3	ko00340	Histidine metabolism [PATH:ko00340]
gene=celV	ko00500	Starch and sucrose metabolism [PATH:ko00500]
gene=celV	ko02020	Two-component system [PATH:ko02020]
gene=speB	ko00330	Arginine and proline metabolism [PATH:ko00330]
gene=fepC	ko02000	Transporters [BR:ko02000]
gene=yusV_8	ko02010	ABC transporters [PATH:ko02010]
gene=yusV_8	ko02000	Transporters [BR:ko02000]
gene=glyA	ko00630	Glyoxylate and dicarboxylate metabolism [PATH:ko00630]
gene=glyA	ko00680	Methane metabolism [PATH:ko00680]
gene=glyA	ko00260	Glycine, serine and threonine metabolism [PATH:ko00260]
gene=glyA	ko00460	Cyanoamino acid metabolism [PATH:ko00460]
gene=glyA	ko00670	One carbon pool by folate [PATH:ko00670]
gene=glyA	ko01523	Antifolate resistance [PATH:ko01523]
gene=lpxK_1	ko00540	Lipopolysaccharide biosynthesis [PATH:ko00540]
gene=lpxK_1	ko01005	Lipopolysaccharide biosynthesis proteins [BR:ko01005]
gene=secB	ko03060	Protein export [PATH:ko03060]
gene=secB	ko03070	Bacterial secretion system [PATH:ko03070]
gene=secB	ko02024	Quorum sensing [PATH:ko02024]
gene=secB	ko03110	Chaperones and folding catalysts [BR:ko03110]
gene=secB	ko02044	Secretion system [BR:ko02044]
gene=pheP	ko02000	Transporters [BR:ko02000]
gene=xerC	ko03036	Chromosome and associated proteins [BR:ko03036]
gene=putB_1	ko00330	Arginine and proline metabolism [PATH:ko00330]
gene=nusG_1	ko03021	Transcription machinery [BR:ko03021]
gene=nusG_1	ko03009	Ribosome biogenesis [BR:ko03009]
gene=panE_1	ko00770	Pantothenate and CoA biosynthesis [PATH:ko00770]
protein=Outer	99992	Structural proteins
protein=Alkyl	99980	Enzymes with EC numbers
gene=gbsA	ko00260	Glycine, serine and threonine metabolism [PATH:ko00260]
gene=opuCA_3	ko02000	Transporters [BR:ko02000]
gene=yclM	ko00260	Glycine, serine and threonine metabolism [PATH:ko00260]
gene=yclM	ko00270	Cysteine and methionine metabolism [PATH:ko00270]
gene=yclM	ko00300	Lysine biosynthesis [PATH:ko00300]
gene=yclM	ko00261	Monobactam biosynthesis [PATH:ko00261]
gene=frmR_3	ko03000	Transcription factors [BR:ko03000]
gene=esxN_1	ko05152	Tuberculosis [PATH:ko05152]
gene=rplB_2	ko03010	Ribosome [PATH:ko03010]
gene=rplB_2	ko03011	Ribosome [BR:ko03011]
gene=ybdH_2	99980	Enzymes with EC numbers
protein=Small,	99978	Cell growth
gene=ptrB	ko05142	Chagas disease [PATH:ko05142]
gene=ptrB	ko05143	African trypanosomiasis [PATH:ko05143]
gene=ptrB	ko01002	Peptidases and inhibitors [BR:ko01002]
gene=ugpC_5	ko02010	ABC transporters [PATH:ko02010]
gene=ugpC_5	ko02000	Transporters [BR:ko02000]
gene=ldrD_8	ko02048	Prokaryotic defense system [BR:ko02048]
gene=acxC	99980	Enzymes with EC numbers
gene=hisC	ko00340	Histidine metabolism [PATH:ko00340]
gene=hisC	ko00350	Tyrosine metabolism [PATH:ko00350]
gene=hisC	ko00360	Phenylalanine metabolism [PATH:ko00360]
gene=hisC	ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]
gene=hisC	ko00960	Tropane, piperidine and pyridine alkaloid biosynthesis [PATH:ko00960]
gene=hisC	ko00401	Novobiocin biosynthesis [PATH:ko00401]
gene=hisC	ko01007	Amino acid related enzymes [BR:ko01007]
gene=norR	ko03000	Transcription factors [BR:ko03000]
gene=uspA_2	99995	Signaling proteins
gene=ddpF_1	ko02024	Quorum sensing [PATH:ko02024]
gene=ddpF_1	ko02000	Transporters [BR:ko02000]
gene=idhA	ko00562	Inositol phosphate metabolism [PATH:ko00562]
gene=idhA	ko00521	Streptomycin biosynthesis [PATH:ko00521]
gene=afsR_18	ko03000	Transcription factors [BR:ko03000]
gene=cstA_2	99995	Signaling proteins
gene=bssS	ko02048	Prokaryotic defense system [BR:ko02048]
gene=pigE_2	ko00310	Lysine degradation [PATH:ko00310]
gene=pigE_2	ko00330	Arginine and proline metabolism [PATH:ko00330]
gene=pigE_2	ko01007	Amino acid related enzymes [BR:ko01007]
gene=tsaR	ko03000	Transcription factors [BR:ko03000]
gene=gntT_4	ko02000	Transporters [BR:ko02000]
gene=nemR	ko03000	Transcription factors [BR:ko03000]
gene=cbtA_5	ko02048	Prokaryotic defense system [BR:ko02048]
gene=dmsA_4	ko00680	Methane metabolism [PATH:ko00680]
gene=dmsA_4	ko02000	Transporters [BR:ko02000]
gene=mboIR	ko02048	Prokaryotic defense system [BR:ko02048]
gene=alr1_2	ko00470	D-Amino acid metabolism [PATH:ko00470]
gene=alr1_2	ko01502	Vancomycin resistance [PATH:ko01502]
gene=alr1_2	ko01011	Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]
gene=rsfA_2	ko03000	Transcription factors [BR:ko03000]
gene=mleS	ko00620	Pyruvate metabolism [PATH:ko00620]
gene=mdtC_4	ko02020	Two-component system [PATH:ko02020]
gene=mdtC_4	ko02000	Transporters [BR:ko02000]
gene=nqo2	ko00190	Oxidative phosphorylation [PATH:ko00190]
gene=nqo2	ko04723	Retrograde endocannabinoid signaling [PATH:ko04723]
gene=nqo2	ko04714	Thermogenesis [PATH:ko04714]
gene=nqo2	ko05208	Chemical carcinogenesis - reactive oxygen species [PATH:ko05208]
gene=nqo2	ko05010	Alzheimer disease [PATH:ko05010]
gene=nqo2	ko05012	Parkinson disease [PATH:ko05012]
gene=nqo2	ko05014	Amyotrophic lateral sclerosis [PATH:ko05014]
gene=nqo2	ko05016	Huntington disease [PATH:ko05016]
gene=nqo2	ko05020	Prion disease [PATH:ko05020]
gene=nqo2	ko05022	Pathways of neurodegeneration - multiple diseases [PATH:ko05022]
gene=nqo2	ko05415	Diabetic cardiomyopathy [PATH:ko05415]
gene=nqo2	ko04932	Non-alcoholic fatty liver disease [PATH:ko04932]
gene=yihU	ko00650	Butanoate metabolism [PATH:ko00650]
gene=araQ_42	ko02000	Transporters [BR:ko02000]
gene=comP_1	ko02020	Two-component system [PATH:ko02020]
gene=comP_1	ko02024	Quorum sensing [PATH:ko02024]
gene=comP_1	ko01001	Protein kinases [BR:ko01001]
gene=comP_1	ko02022	Two-component system [BR:ko02022]
gene=dprA_1	99976	Replication and repair
gene=dprA_1	99979	Unclassified viral proteins
gene=zwf_4	ko00030	Pentose phosphate pathway [PATH:ko00030]
gene=zwf_4	ko00480	Glutathione metabolism [PATH:ko00480]
gene=zwf_4	ko05230	Central carbon metabolism in cancer [PATH:ko05230]
gene=zwf_4	ko05415	Diabetic cardiomyopathy [PATH:ko05415]
gene=zwf_4	ko04147	Exosome [BR:ko04147]
gene=traG_2	ko03070	Bacterial secretion system [PATH:ko03070]
gene=traG_2	ko02044	Secretion system [BR:ko02044]
gene=rnhA	ko03030	DNA replication [PATH:ko03030]
gene=rnhA	ko03032	DNA replication proteins [BR:ko03032]
gene=rpsI	ko03010	Ribosome [PATH:ko03010]
gene=rpsI	ko03011	Ribosome [BR:ko03011]
gene=uvrD2_2	ko03420	Nucleotide excision repair [PATH:ko03420]
gene=uvrD2_2	ko03430	Mismatch repair [PATH:ko03430]
gene=uvrD2_2	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=gltA	ko00680	Methane metabolism [PATH:ko00680]
gene=ydiF	ko00650	Butanoate metabolism [PATH:ko00650]
gene=ydiF	ko00627	Aminobenzoate degradation [PATH:ko00627]
gene=rsmB_1	ko03009	Ribosome biogenesis [BR:ko03009]
gene=ruvA_1	ko03440	Homologous recombination [PATH:ko03440]
gene=ruvA_1	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=mcpB_5	ko02020	Two-component system [PATH:ko02020]
gene=mcpB_5	ko02030	Bacterial chemotaxis [PATH:ko02030]
gene=mcpB_5	ko02035	Bacterial motility proteins [BR:ko02035]
gene=mtcA2	ko00910	Nitrogen metabolism [PATH:ko00910]
gene=lgrD_7	ko01053	Biosynthesis of siderophore group nonribosomal peptides [PATH:ko01053]
gene=lgrD_7	ko01008	Polyketide biosynthesis proteins [BR:ko01008]
gene=embR_2	ko03000	Transcription factors [BR:ko03000]
gene=pgiB	ko00010	Glycolysis / Gluconeogenesis [PATH:ko00010]
gene=pgiB	ko00030	Pentose phosphate pathway [PATH:ko00030]
gene=pgiB	ko00500	Starch and sucrose metabolism [PATH:ko00500]
gene=pgiB	ko00520	Amino sugar and nucleotide sugar metabolism [PATH:ko00520]
gene=pgiB	ko04147	Exosome [BR:ko04147]
gene=scrK	ko00051	Fructose and mannose metabolism [PATH:ko00051]
gene=scrK	ko00500	Starch and sucrose metabolism [PATH:ko00500]
gene=scrK	ko00520	Amino sugar and nucleotide sugar metabolism [PATH:ko00520]
gene=nadK_1	ko00760	Nicotinate and nicotinamide metabolism [PATH:ko00760]
gene=rplW	ko03010	Ribosome [PATH:ko03010]
gene=rplW	ko03011	Ribosome [BR:ko03011]
gene=fdhD	99982	Energy metabolism
gene=spo0A_2	ko02020	Two-component system [PATH:ko02020]
gene=spo0A_2	ko02022	Two-component system [BR:ko02022]
gene=fadL	ko02000	Transporters [BR:ko02000]
gene=ybeY_1	ko03009	Ribosome biogenesis [BR:ko03009]
gene=fadN	ko00650	Butanoate metabolism [PATH:ko00650]
gene=fadN	ko00071	Fatty acid degradation [PATH:ko00071]
gene=fadN	ko00362	Benzoate degradation [PATH:ko00362]
gene=pykF	ko00010	Glycolysis / Gluconeogenesis [PATH:ko00010]
gene=pykF	ko00620	Pyruvate metabolism [PATH:ko00620]
gene=pykF	ko04922	Glucagon signaling pathway [PATH:ko04922]
gene=pykF	ko05203	Viral carcinogenesis [PATH:ko05203]
gene=pykF	ko05230	Central carbon metabolism in cancer [PATH:ko05230]
gene=pykF	ko05165	Human papillomavirus infection [PATH:ko05165]
gene=pykF	ko04930	Type II diabetes mellitus [PATH:ko04930]
gene=pykF	ko04131	Membrane trafficking [BR:ko04131]
gene=pykF	ko04147	Exosome [BR:ko04147]
gene=nupX_1	99977	Transport
gene=ctaD_4	ko00190	Oxidative phosphorylation [PATH:ko00190]
gene=lcfB_18	ko01004	Lipid biosynthesis proteins [BR:ko01004]
gene=frmB_2	99980	Enzymes with EC numbers
gene=dctA2_1	ko02020	Two-component system [PATH:ko02020]
gene=dctA2_1	ko02000	Transporters [BR:ko02000]
gene=genK_2	ko02000	Transporters [BR:ko02000]
gene=ptrA_2	ko01002	Peptidases and inhibitors [BR:ko01002]
protein=N-acetylmuramoyl-L-alanine	ko01503	Cationic antimicrobial peptide (CAMP) resistance [PATH:ko01503]
protein=N-acetylmuramoyl-L-alanine	ko01011	Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]
protein=N-acetylmuramoyl-L-alanine	ko03036	Chromosome and associated proteins [BR:ko03036]
gene=gadW_1	ko03000	Transcription factors [BR:ko03000]
gene=ctpA_2	ko04016	MAPK signaling pathway - plant [PATH:ko04016]
gene=ctpA_2	ko04978	Mineral absorption [PATH:ko04978]
